sensitive_px,sensitive_py,tau_x_mean,tau_x_std,tau_x_var,tau_y_mean,tau_y_std,tau_y_var,NMI_rows_mean,NMI_rows_std,NMI_rows_var,AMI_rows_mean,AMI_rows_std,AMI_rows_var,ARI_rows_mean,ARI_rows_std,ARI_rows_var,NMI_cols_mean,NMI_cols_std,NMI_cols_var,AMI_cols_mean,AMI_cols_std,AMI_cols_var,ARI_cols_mean,ARI_cols_std,ARI_cols_var,balance_bera_rows_mean,balance_bera_rows_std,balance_bera_rows_var,balance_bera_cols_mean,balance_bera_cols_std,balance_bera_cols_var,time_mean,time_std,time_var
0.0,0.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.9986073842600456,0.0,0.0,0.998939775575616,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.0,0.4,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.9986073842600456,0.0,0.0,0.7996239936030081,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.0,0.8,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.9986073842600456,0.0,0.0,0.58220416367904,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.0,1.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.9986073842600456,0.0,0.0,0.47611199619110406,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.4,0.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.7713386785750533,0.0,0.0,0.998939775575616,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.4,0.4,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.7713386785750533,0.0,0.0,0.7996239936030081,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.4,0.8,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.7713386785750533,0.0,0.0,0.58220416367904,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.4,1.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.7713386785750533,0.0,0.0,0.47611199619110406,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.8,0.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.5142257857167022,0.0,0.0,0.998939775575616,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.8,0.4,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.5142257857167022,0.0,0.0,0.7996239936030081,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.8,0.8,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.5142257857167022,0.0,0.0,0.58220416367904,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
0.8,1.0,0.3950201990315357,0.0,0.0,0.3950201990315357,0.0,0.0,0.7129195166312857,0.0,0.0,0.7125808340528733,0.0,0.0,0.5287189355683933,0.0,0.0,0.730478220807379,0.0,0.0,0.7301656170240548,0.0,0.0,0.564063512639468,0.0,0.0,0.5142257857167022,0.0,0.0,0.47611199619110406,0.0,0.0,0.6117342948913574,0.19327710392843642,0.037356038902963615
