num_groups,sensitive_px,sensitive_py,row_fair_majority,row_fair_minority,col_fair_majority,col_fair_minority,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,NMI_van_rows,AMI_van_rows,ARI_van_rows,NMI_van_cols,AMI_van_cols,ARI_van_cols,balance_bera_rows,balance_bera_cols,time
2,0.8,0.8,0.0,0.0,0.0,0.0,0,18,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.1316237449645996
2,0.8,0.8,0.0,0.0,0.0,0.0,1,15,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.052529335021972656
2,0.8,0.8,0.0,0.0,0.0,0.0,2,19,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.05797076225280762
2,0.8,0.8,0.0,0.0,0.0,0.0,3,15,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.048600196838378906
2,0.8,0.8,0.0,0.0,0.0,0.0,4,12,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.042701005935668945
2,0.8,0.8,0.0,0.0,0.0,0.0,5,12,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.040656328201293945
2,0.8,0.8,0.0,0.0,0.0,0.0,6,17,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.05276966094970703
2,0.8,0.8,0.0,0.0,0.0,0.0,7,13,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.044373512268066406
2,0.8,0.8,0.0,0.0,0.0,0.0,8,15,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.04701828956604004
2,0.8,0.8,0.0,0.0,0.0,0.0,9,12,2,2,0.39502019903153573,0.39502019903153573,0.7129195166312857,0.7125808340528733,0.5287189355683933,0.730478220807379,0.7301656170240548,0.564063512639468,1.0,1.0,1.0,1.0,1.0,1.0,0.5142257857167022,0.58220416367904,0.04764819145202637
