num_groups;sensitive_p;run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
2;0.0;0;13;4;4;0.3075619917035833;0.3073762154095663;0.902462641840836;0.9020594281071008;0.7700580044778049;0.897406368541996;0.8969792788487176;0.7526454569778374;0.9897959183673469;0.9968655259236422;8.981671126838267e-06;0.3928093910217285
2;0.0;1;16;4;4;0.30428482175404264;0.30446028467943204;0.9075030477238635;0.9071224809899361;0.7887321917624809;0.9116055475593928;0.9112424542131328;0.8049349549879696;0.9907407407407407;0.997343524257818;7.662642881108397e-06;0.5130715370178223
2;0.0;2;14;3;3;0.3034411497477427;0.3031720513147306;0.7919171422000004;0.7912873128296978;0.6146580667163571;0.7916267295012033;0.7909944647108239;0.6144266258107057;0.9948453608247423;0.998;2.259268707752399e-06;0.5626406669616699
2;0.0;3;18;3;3;0.293832105090291;0.2936534650303344;0.7903227834399137;0.7896872559207784;0.6109458131619562;0.7849276230002521;0.7842712471813089;0.5998687124749003;0.9897959183673469;0.9968655259236422;6.97682163039589e-06;0.41136765480041504
2;0.0;4;15;2;2;0.30254059460160804;0.3025405946016079;0.5933918153386777;0.5926772493795246;0.3814880303054271;0.5976802337166613;0.5969738544387009;0.39109438552078163;0.9951923076923077;0.9995895405268368;1.261261279664205e-07;0.7675015926361084
2;0.0;5;23;3;3;0.30811888854449265;0.308053043168262;0.7461107003054039;0.7453123569877191;0.4903684174293556;0.7548712966501103;0.7541043224033086;0.5123044922655382;0.9907407407407407;0.997343524257818;5.563575913655565e-06;0.6642675399780273
2;0.0;6;23;3;3;0.2950513599127718;0.29530216631464934;0.7893604470334368;0.7887214729506181;0.6087639900510177;0.7889606460971246;0.7883188157233194;0.6085417084158432;0.9949238578680203;0.998;2.232160529044337e-06;0.9338197708129883
2;0.0;7;13;3;3;0.2950513599127719;0.29530216631464934;0.7893604470334368;0.7887214729506181;0.6087639900510177;0.7889606460971246;0.7883188157233194;0.6085417084158432;0.9949238578680203;0.998;2.2321605290442285e-06;0.30466437339782715
2;0.0;8;17;3;3;0.3034411497477426;0.3031720513147306;0.7919171422000004;0.7912873128296978;0.6146580667163571;0.7916267295012033;0.7909944647108239;0.6144266258107057;0.9948453608247423;0.998;2.2592687077523446e-06;0.20562124252319336
2;0.0;9;17;3;3;0.31587092761855706;0.31601918829077635;0.739964857200733;0.7391430675807574;0.476493102656082;0.7303232410180941;0.7294623299636516;0.45744797462502;0.9897959183673469;0.9968655259236422;6.953161299238586e-06;0.15654826164245605
2;0.1;0;18;3;3;0.3034411497477426;0.3031720513147306;0.7919171422000004;0.7912873128296978;0.6146580667163571;0.7916267295012033;0.7909944647108239;0.6144266258107057;0.935;0.9644793101136229;0.0010993038672047761;0.10866212844848633
2;0.1;1;15;3;3;0.2996560916313663;0.2994088774763782;0.7894055587341606;0.7887667457732628;0.6089106796367217;0.7889606460971244;0.7883188157233192;0.6085417084158432;0.8285714285714286;0.904441117764471;0.005123612645851082;0.18155264854431152
2;0.1;2;19;3;3;0.31989001230886466;0.3198814607267488;0.7382712632211267;0.7374429749388643;0.4728567797325691;0.7375733655715295;0.7367405406672014;0.4724246305454723;0.8285714285714286;0.904441117764471;0.005061780579306566;0.2869303226470947
2;0.1;3;30;3;3;0.29837031231076755;0.29862557276844615;0.7920532465028122;0.791423901436366;0.6151023239096007;0.7921997857472497;0.7915695648752535;0.6162892627615703;0.9380952380952381;0.9661267146297087;0.001076187953000643;0.46349000930786133
2;0.1;4;23;3;3;0.29479873514155075;0.2948250570627073;0.7964875200702813;0.7958739447619763;0.6258352922217565;0.8021489417124285;0.8015540214626932;0.6413806962628472;0.9402985074626866;0.9672961768770152;0.000979188158135219;0.24137425422668457
2;0.1;5;22;3;3;0.2972879112772519;0.29730737121756873;0.7964599900015984;0.7958463173618422;0.6257449183498832;0.8019282820082536;0.8013325861275414;0.6406540834881669;0.935;0.9644793101136229;0.0011271855352704176;0.20784235000610352
2;0.1;6;14;3;3;0.3000960427427214;0.30006657630309463;0.7919954100813235;0.791365859225642;0.6149134768877957;0.7926764584473263;0.7920479364188315;0.6178455857756018;0.9402985074626866;0.9672961768770152;0.0009499299189294069;0.19638299942016602
2;0.1;7;28;3;3;0.29479873514155075;0.2948250570627073;0.7964875200702813;0.7958739447619763;0.6258352922217565;0.8021489417124285;0.8015540214626932;0.6413806962628472;0.9402985074626866;0.9672961768770152;0.000979188158135219;0.5576238632202148
2;0.1;8;13;3;3;0.29965609163136636;0.2994088774763783;0.7894055587341606;0.7887667457732628;0.6089106796367217;0.7889606460971244;0.7883188157233192;0.6085417084158432;0.8285714285714286;0.904441117764471;0.005123612645851086;0.4439880847930908
2;0.1;9;27;2;2;0.3065022615582611;0.306502261558261;0.5864457028076931;0.5857152626526245;0.36794884669240996;0.581408430461704;0.5806647649710639;0.35946576657210166;0.935;0.9644793101136229;0.0008862558351637444;0.42595720291137695
