sensitive_p,tau_x_mean,tau_x_std,tau_x_var,tau_y_mean,tau_y_std,tau_y_var,NMI_rows_mean,NMI_rows_std,NMI_rows_var,AMI_rows_mean,AMI_rows_std,AMI_rows_var,ARI_rows_mean,ARI_rows_std,ARI_rows_var,NMI_cols_mean,NMI_cols_std,NMI_cols_var,AMI_cols_mean,AMI_cols_std,AMI_cols_var,ARI_cols_mean,ARI_cols_std,ARI_cols_var,balance_chierichetti_mean,balance_chierichetti_std,balance_chierichetti_var,balance_bera_mean,balance_bera_std,balance_bera_var,KL_fairness_error_mean,KL_fairness_error_std,KL_fairness_error_var,time_mean,time_std,time_var
0.0,0.13659199727170124,0.010598477082015344,0.00011232771645800449,0.13558815807265187,0.011423745015469,0.00013050195017845284,0.7174501759381731,0.05622913061557336,0.003161715129783209,0.7148233769626271,0.0563618998976972,0.00317666376007804,0.3924464052247628,0.09236746106221988,0.008531747863080705,0.7142550415937758,0.051664926671873425,0.0026692646480100577,0.7115739791983032,0.05173276120342405,0.0026762785817304965,0.37980056411246216,0.08328788125667463,0.006936871164225934,0.9524821286716832,0.012855160074348,0.00016525514053711084,0.970054437590575,0.00661478805427255,4.375542100294683e-05,0.00064362898847282,0.0003326900879152814,1.1068269459707765e-07,0.47150774002075196,0.2520391861529534,0.0635237513566431
0.1,0.1332436561726905,0.0050593438158901905,2.5596959847386316e-05,0.13233472054340972,0.004844777467655968,2.3471868711106975e-05,0.7121332899390189,0.055043129127289404,0.0030297460641234555,0.709595622781006,0.05511931178166345,0.0030381385312842238,0.383964839973226,0.056904405379828805,0.0032381113516318895,0.7064213242775468,0.05481317973294094,0.0030044846724356874,0.7038049210811183,0.05487601549606298,0.0030113770767241444,0.3685589231021374,0.05405567066579488,0.0029220155311288766,0.9208906388181083,0.036982259475786955,0.0013676875159344339,0.9503020541219328,0.01856479884317534,0.0003446517560875644,0.00148255430910322,0.0009060531777491276,8.209323609092922e-07,0.24723248481750487,0.11062374413814195,0.012237612767141097
0.2,0.13509591986996447,0.007870286592518653,6.194141104837887e-05,0.13396917998850272,0.00852168860034128,7.261917660118652e-05,0.6824283090621808,0.08268686590310634,0.006837117792878288,0.6798704499901596,0.08277537810281274,0.006851763220063611,0.3550204390990527,0.0961071386877676,0.009236582106749795,0.675626483959706,0.07733312419969367,0.005980412098485247,0.6729771573139587,0.07735422911679357,0.0059836767622533935,0.3420412964476017,0.08761044940244572,0.007675590844498503,0.7814278608075076,0.10789174670718084,0.011640629007526469,0.8696364880998877,0.0673742670169761,0.004539291856074794,0.00862761141096284,0.007394979626900175,5.468572368226866e-05,0.36812701225280764,0.20245844583270997,0.04098942228899636
0.3,0.1330436087057678,0.010458407375392534,0.00010937828482966495,0.1319373581675149,0.010117034721951428,0.00010235439156517081,0.7017585283865637,0.0507197993667036,0.0025724980477986673,0.6993158293517833,0.05063171031568519,0.0025635700894914622,0.37323980392105566,0.04984969240979687,0.0024849918333513595,0.6907742733478476,0.054865257184864194,0.003010196445961292,0.6882150029217888,0.05479512394697101,0.0030025056083639156,0.35613352539783844,0.054372823312185375,0.0029564039149381294,0.6986433020464731,0.11813866366234534,0.013956743851924754,0.7942257940452967,0.08957055508286191,0.008022884337851999,0.01580443977127509,0.010599194370905422,0.00011234292131223319,0.13849258422851557,0.045697589666079654,0.0020882697012893896
0.4,0.14104359428972296,0.009338353900249695,8.720485356630867e-05,0.14022763582850967,0.009261684875580312,8.577880673455312e-05,0.7068335543088171,0.042777061843891115,0.0018298770199960852,0.7041720269826393,0.042813420889586534,0.0018329890082688849,0.35336384007555355,0.04880003663494648,0.0023814435755721186,0.6957129938333793,0.05164649549804471,0.002667360497229553,0.6929240366071101,0.05178582867139182,0.0026817720511827475,0.3362071021292171,0.05883759034268554,0.0034618620373336826,0.5452445596508284,0.12429996769449275,0.015450481968851943,0.6775226818229649,0.10405063943657743,0.010826535567160641,0.045215392134773616,0.022942274488466613,0.000526347958704146,0.12960479259490962,0.033627103789420736,0.0011307821092644745
0.5,0.13554890621291044,0.007113972861908338,5.0608609879968305e-05,0.1348598513264104,0.007150784846053391,5.113372391454682e-05,0.6933160955331488,0.054306420689837875,0.0029491873281416513,0.6907790056217367,0.05429868248709586,0.00294834691983445,0.3647099842908817,0.06664301267734896,0.004441291138713294,0.692669763455453,0.05239304220521534,0.0027450308715174757,0.6901083776866386,0.05237551292273388,0.002743194353919464,0.3573461912279169,0.06607181970241872,0.004365485358788927,0.851842860865764,0.017395266239568143,0.00030259528754545924,0.9131500233743772,0.012901433487909248,0.00016644698604294619,0.00702301309767084,0.002034628324111218,4.139712417275624e-06,0.3373471021652221,0.17836375421748346,0.03181362881855485
0.6,0.1326173450955306,0.014940719442798317,0.00022322509746841164,0.13215459566007123,0.015069117053757734,0.0002270782887798522,0.7198502835578646,0.05110437364991895,0.00261165700615053,0.7172270965486585,0.05134005934687172,0.00263580169374031,0.4064062732317943,0.09416745642433917,0.008867509849429817,0.7158483349572149,0.04977541673796091,0.002477592111437679,0.713171833803251,0.04999347148565063,0.0024993471911865625,0.3988657126460016,0.0927044528188677,0.008594115572445668,0.5583711972241276,0.2208500682076852,0.04877475262733921,0.648897341781054,0.20269566397044408,0.041085532192419186,0.06013146859518135,0.05492527842783993,0.003016786210375738,0.24478244781494135,0.1583243241668202,0.025066591622880375
0.7,0.13046193616431295,0.012853743682848058,0.00016521872666435636,0.12938117132932456,0.013038806064772946,0.00017001046359475976,0.6904476013634343,0.031859861040053075,0.0010150507454914917,0.6879583016864268,0.03207653591281745,0.0010289041561662676,0.36617572725650394,0.05807273237528768,0.0033724422455317852,0.6865352379633841,0.03306194311621844,0.0010930920826200642,0.6839992328881996,0.03326296926644736,0.0011064251244206219,0.35728196853271627,0.05730846433838903,0.003284260084824407,0.7327707430003965,0.07867212439349076,0.006189303156584884,0.842588036462867,0.053363430810389946,0.002847655747855275,0.015517212528989268,0.007676518362935467,5.892893417648541e-05,0.22998101711273194,0.13329187479963475,0.017766723887601508
0.8,0.13216940284921957,0.008147876627397022,6.638789353528267e-05,0.13146612468349572,0.007710560579381486,5.9452744448311765e-05,0.7177212307885882,0.024868348412336587,0.0006184347527573636,0.7151069919621056,0.024800041075868702,0.0006150420373647748,0.3916320594326634,0.025337016928096933,0.0006419644268146705,0.7172007475405958,0.02729130413084867,0.0007448152811624776,0.7145598638782437,0.027264860492647525,0.0007433726176835318,0.3827785736269671,0.03496281096366448,0.0012223981504809371,0.4368671395871977,0.2475399071736497,0.06127600564353911,0.5393194352925871,0.27230013462653835,0.07414736331763092,0.1366437879639061,0.13095597489451355,0.017149467360572466,0.256996202468872,0.16060302159375087,0.02579333054504281
0.9,0.13657744964946944,0.008866655369977201,7.861757744994552e-05,0.13590046953983076,0.00886526521074939,7.859292725692345e-05,0.6970307434292538,0.02560966127022398,0.0006558547503756102,0.694385045517107,0.02563187797555811,0.000656993168553901,0.356012699986188,0.04338530713368431,0.0018822848750841186,0.6919900126318999,0.023005427449826935,0.0005292496921492505,0.689275671485283,0.023021612567137438,0.0005299946451913804,0.34570034491640705,0.0396586698179858,0.0015728100917320178,0.4399545742910996,0.2837090425256541,0.0804908208108234,0.5217804130892832,0.31437428896302233,0.09883119356100585,0.18625009427885117,0.22426991298162766,0.05029699386878684,0.3455259323120117,0.2810381078953129,0.07898241808937755
