num_groups,sensitive_p,fair_majority,fair_minority,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,NMI_van_rows,AMI_van_rows,ARI_van_rows,NMI_van_cols,AMI_van_cols,ARI_van_cols,balance_chierichetti,balance_bera,KL_fairness_error,time
2,0.0,0.0,0.0,0,22,3,3,0.31164303676596333,0.31171724552657604,0.7354729417434915,0.734633884876582,0.4668474983380486,0.7250071641342934,0.7241254949570672,0.44647024161769056,0.5930736488835705,0.5922017953779825,0.344374365302904,0.5768907032387738,0.5759618527970575,0.3218598099085454,0.9897959183673469,0.9968655259236422,6.9608814993188796e-06,2.3184328079223633
2,0.0,0.0,0.0,1,17,3,3,0.2987750648280684,0.29875189653209566,0.7894563009729061,0.7888176692314446,0.6090757458430014,0.789789857030486,0.789150994948784,0.6112350182388241,0.3863257306839773,0.3850869244565344,0.15954531534117092,0.3710829725937891,0.3697983388154702,0.1394956227629166,0.9902912621359223,0.9971161835866855,8.141650564092318e-06,1.8388452529907227
2,0.0,0.0,0.0,2,16,2,2,0.29845323867529133,0.2984532386752915,0.5923035749787092,0.5915865303510878,0.37932760189374876,0.5936479709519707,0.5929324165216566,0.3829540138806239,0.34926995282480183,0.3484640814213256,0.18697208993064182,0.3313580831174686,0.33051922751079077,0.16087386817347216,0.9902912621359223,0.9971161835866855,6.141649230756918e-06,1.604231834411621
2,0.0,0.0,0.0,3,25,3,3,0.31989001230886466,0.3198814607267488,0.7382712632211267,0.7374429749388643,0.4728567797325691,0.7375733655715295,0.7367405406672014,0.4724246305454723,0.5972831916700859,0.5964229904379739,0.35212464349252864,0.5960555189006077,0.595180939197939,0.35653127194845763,0.9934426229508196,0.998,4.83138073325022e-06,3.0658464431762695
2,0.0,0.0,0.0,4,38,2,2,0.3068011020001426,0.30680110200014254,0.5878399019601795,0.5871126581313231,0.3706193494105449,0.5879077429223252,0.5871790535706989,0.3717161405198315,0.36125751720550614,0.36046290202870734,0.2103606801472888,0.3583049328090519,0.3574951225917129,0.21372048023913012,0.9934426229508196,0.998,2.831379399914711e-06,4.551330804824829
2,0.0,0.0,0.0,5,19,3,3,0.29479873514155075,0.2948250570627073,0.7964875200702813,0.7958739447619763,0.6258352922217565,0.8021489417124285,0.8015540214626932,0.6413806962628472,0.6678252372828262,0.6671600065866087,0.4912865988346346,0.6631635923571185,0.6624852435215407,0.4806777554355714,0.9907407407407407,0.997343524257818,5.655708950394293e-06,1.8882122039794922
2,0.0,0.0,0.0,6,24,3,3,0.29479873514155086,0.2948250570627074,0.7964875200702813,0.7958739447619763,0.6258352922217565,0.8021489417124285,0.8015540214626932,0.6413806962628472,0.6678252372828262,0.6671600065866087,0.4912865988346346,0.6631635923571185,0.6624852435215407,0.4806777554355714,0.9907407407407407,0.997343524257818,5.655708950394402e-06,2.722327947616577
2,0.0,0.0,0.0,7,15,4,4,0.30428482175404264,0.30446028467943204,0.9075030477238635,0.9071224809899361,0.7887321917624809,0.9116055475593928,0.9112424542131328,0.8049349549879696,0.5894891945512665,0.5884010899777646,0.323317771505139,0.5843445647456532,0.5832362201059157,0.31666379824114854,0.9907407407407407,0.997343524257818,7.662642881108397e-06,1.8364248275756836
2,0.0,0.0,0.0,8,14,4,4,0.30428482175404264,0.30446028467943204,0.9075030477238635,0.9071224809899361,0.7887321917624809,0.9116055475593928,0.9112424542131328,0.8049349549879696,0.5894891945512666,0.5884010899777649,0.323317771505139,0.5843445647456532,0.5832362201059157,0.31666379824114854,0.9907407407407407,0.997343524257818,7.662642881108397e-06,1.6655385494232178
2,0.0,0.0,0.0,9,18,3,3,0.2950513599127718,0.29530216631464934,0.7893604470334368,0.7887214729506181,0.6087639900510177,0.7889606460971246,0.7883188157233194,0.6085417084158432,0.3861554002614766,0.384916117660302,0.15922745135678004,0.369580369309153,0.36829146223863185,0.13669890873660492,0.9949238578680203,0.998,2.2321605290442827e-06,2.1659319400787354
